id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,name,host_name,neighbourhood_group,neighbourhood,room_type
16323239,2559886,40.76284,-73.98849,130,4,2,2017-11-30,0.07,1,0,Spacious 2 BDR - Hell's Kitchen/Times Square,Sy,Manhattan,Hell's Kitchen,Entire home/apt
22064197,20153029,40.77244,-73.98043,190,7,0,,,1,0,Upper West Side Central Park apartment,Tal,Manhattan,Upper West Side,Entire home/apt
21786337,64837680,40.827740000000006,-73.94609,60,1,1,2018-01-01,0.05,1,0,Master Bedroom in Harlem - 20 min to Midtown!,Andrea,Manhattan,Harlem,Private room
10166820,486147,40.67174,-73.98616,63,30,17,2018-09-01,0.44,1,73,Brooklyn apartment 20 min to Manhattan,Christopher,Brooklyn,Park Slope,Private room
15894199,103087934,40.67567,-73.93744000000001,158,4,61,2019-05-31,1.92,1,264,Crown Heights Duplex Apt.,Martha,Brooklyn,Crown Heights,Entire home/apt
31670237,310670,40.88009,-73.83456,68,2,0,,,13,364,Dominiques Homesharing  room NYC* metro*quiet*safe,Vie,Bronx,Eastchester,Private room
26125349,502897,40.72791,-73.95689,150,5,1,2018-06-20,0.08,1,0,Beautiful apartment in Greenpoint,Malu,Brooklyn,Greenpoint,Entire home/apt
15928635,278393,40.69906,-73.92430999999999,40,2,96,2019-06-24,2.99,3,78,"Sunny, Cozy, Private Room In The Heart of Bushwick",Dylana,Brooklyn,Bushwick,Private room
18459547,1349266,40.70369,-73.98306,186,30,1,2019-06-11,1.0,1,1,Dumbo Penthouse Loft with Outdoor Spaces & Views,Adam,Brooklyn,Vinegar Hill,Entire home/apt
22546236,133825714,40.72465,-73.80162,30,1,0,,,1,0,SJU大学,Peng,Queens,Flushing,Shared room
29614352,9489892,40.76186,-73.98850999999999,99,1,15,2019-06-16,1.81,1,0,Steps from Times Square and Subway!,Serim,Manhattan,Hell's Kitchen,Private room
19967657,16549535,40.71624,-73.98935,50,1,6,2018-09-28,0.28,1,0,Sanjay's Art Lab - Prime LES - Quintessential NYC,Sanjay,Manhattan,Lower East Side,Entire home/apt
13042051,43339525,40.7163,-73.94394,178,2,22,2018-10-21,0.59,1,3,Modern Williamsburg Condo near restaurants + metro,Jeff,Brooklyn,Williamsburg,Entire home/apt
13740793,76590834,40.80165,-73.96497,65,1,0,,,1,0,Beautiful Elevator Bldg near Columbia University,Omar,Manhattan,Upper West Side,Private room
33869355,163365183,40.81153,-73.96112,34,5,0,,,1,14,"Cozy big Apt, Manhattan, Columbia, Central Park",Sijia,Manhattan,Morningside Heights,Shared room
19890678,513517,40.67567,-73.95779,59,2,1,2018-05-25,0.07,1,0,Sunny room with a Balcony in Prospect Heights,Tak,Brooklyn,Crown Heights,Private room
24792114,3405917,40.74597,-73.91434,55,3,26,2019-06-17,1.82,1,1,Sunny apartment,Juliana,Queens,Sunnyside,Private room
7788880,26377263,40.70387,-73.91665,47,30,4,2018-08-18,0.13,43,144,"Home 4 Medical Professionals- The ""Camphor""",Stat,Brooklyn,Bushwick,Private room
6130145,29871437,40.74315,-73.91733,78,3,113,2019-07-01,2.23,1,285,Moma Casanova. New Additions!,Ester,Queens,Sunnyside,Private room
1300216,2135948,40.76788,-73.92334,100,1,102,2019-07-03,1.73,1,33,1 Bdrm Apt  2 blocks to subway 15 mins to Midtown,Giovanni,Queens,Astoria,Entire home/apt
34313601,29659188,40.6774,-73.96864000000001,279,2,11,2019-07-06,5.69,1,112,Large 1 BR *** Featured on This Old House,Kevin And Karen,Brooklyn,Prospect Heights,Entire home/apt
3565617,17953139,40.7211,-73.98397,175,7,9,2018-12-07,0.27,1,255,Modern sunny one bed apt,Oisin,Manhattan,Lower East Side,Entire home/apt
5271997,6716330,40.77311,-73.98606,125,3,124,2019-06-24,2.32,3,347,NEW YORK CITY!!! LOCATION LOCATION!,Chris,Manhattan,Upper West Side,Private room
27633987,208531763,40.81915,-73.9425,112,4,9,2019-06-22,1.04,1,89,One bedroom apt in a brownstone - Manhattan,Féven,Manhattan,Harlem,Entire home/apt
3642801,2052361,40.6553,-73.95815999999999,80,3,24,2019-06-23,0.4,3,19,"Cozy Brooklyn  studio, 30 min to Manhattan",Katya,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt
7615409,39938343,40.71813,-73.99231,145,6,13,2018-06-03,0.27,1,0,AMAZING 1 BR APT LES/Chinatown NYC,Aleksey,Manhattan,Lower East Side,Entire home/apt
34860021,262803937,40.66288,-73.95277,90,2,4,2019-06-24,2.73,1,73,"Spacious sunny 1 bedroom, steps away from subway",Roddison,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt
10184162,50466143,40.71215,-73.95801,65,2,0,,,1,0,In the heart of Williamsburg,Louis,Brooklyn,Williamsburg,Private room
35575973,265422938,40.74887,-73.93829000000001,149,2,0,,,2,53,Luxury Building one stop from midtown Manhattan !!,泽宇,Queens,Long Island City,Private room
8685857,42713726,40.66882,-73.95396,80,1,1,2016-01-05,0.02,1,0,Spacious Brooklyn Getaway,Emily,Brooklyn,Crown Heights,Private room
951944,1408973,40.72493,-74.00307,235,3,73,2019-07-05,0.94,1,44,Quiet Studio in Prime SoHo,Dom,Manhattan,SoHo,Entire home/apt
29881570,12131971,40.75855,-73.96961,140,1,3,2018-12-09,0.37,1,0,New york Cozy Studio Near multiple metro Lines,Maria,Manhattan,Midtown,Entire home/apt
10056541,10807649,40.66218,-73.98385,61,2,20,2019-05-30,0.57,1,0,"Bright Studio - Park Slope, BK",Yehua,Brooklyn,South Slope,Entire home/apt
24327546,80885460,40.77467,-73.9094,100,2,6,2019-06-16,0.42,1,0,Cozy & warm private studio apartment in Astoria,Amy,Queens,Ditmars Steinway,Entire home/apt
1130680,55176,40.68767,-73.91261,100,3,308,2019-07-05,4.11,1,99,It's all about Bushwick BROOKLYN,Madison,Brooklyn,Bushwick,Entire home/apt
23754446,76104209,40.75015,-73.98651,200,30,0,,,33,365,1 bedroom apartment on West 34th street,Rated,Manhattan,Midtown,Entire home/apt
26803876,2052361,40.65501,-73.95948,80,3,2,2019-06-10,0.32,3,0,"Brooklyn studio by the park, 30 min to Manhattan",Katya,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt
6652755,16718896,40.6924,-73.96029,145,5,25,2018-01-02,0.51,1,0,The Art Loft! Spacious and Bright!,Kim,Brooklyn,Bedford-Stuyvesant,Entire home/apt
12396603,20942935,40.67529,-73.93670999999999,66,1,1,2016-05-02,0.03,1,0,Dean Street Oasis,Miriam,Brooklyn,Crown Heights,Private room
7665764,40244009,40.73926,-73.92045,150,3,2,2015-09-13,0.04,1,0,US Open? Perfect Lg 1 BR apartment,Marvin,Queens,Sunnyside,Entire home/apt
10801094,11189753,40.68729,-73.96995,225,10,10,2019-06-24,0.26,4,350,FT Greene Flat Private Entrance,Sj,Brooklyn,Fort Greene,Entire home/apt
6780285,230856,40.7154,-73.93866,295,30,6,2018-04-19,0.13,1,0,Beautiful Williamsburg townhouse on a park.,Gabrielle & Malcolm,Brooklyn,Williamsburg,Entire home/apt
6885369,1442860,40.6548,-73.95388,40,2,32,2019-07-01,0.68,1,82,Beautiful Apt in Lefferts Gardens,Godfrey,Brooklyn,Flatbush,Private room
14041141,20971070,40.73819,-73.99835,175,27,2,2018-10-26,0.06,1,310,"Epic West Village, NYC rental",Melani,Manhattan,Chelsea,Entire home/apt
20899010,5761096,40.67556,-73.96427,80,1,1,2017-09-13,0.05,1,0,"Historic (& happening!) Prospect Heights, BK",Leah,Brooklyn,Prospect Heights,Private room
2206311,5149997,40.75701,-73.96781,140,3,0,,,1,0,Modern Studio in Midtown East,Christine,Manhattan,Midtown,Entire home/apt
24493582,26584499,40.78382,-73.98235,135,30,0,,,8,290,Charming beautiful studio perfect location!!,Ofir,Manhattan,Upper West Side,Entire home/apt
4233705,11243583,40.77715,-73.98235,260,1,0,,,1,0,looking for someone to stay 12days,Joseph,Manhattan,Upper West Side,Entire home/apt
21080763,61391963,40.74061,-73.97991,185,30,4,2019-03-31,0.25,91,201,"CHIC 2 BEDROOM W/ LUXURY FINISHES, WASHER DRYER",Corporate Housing,Manhattan,Kips Bay,Entire home/apt
32237469,219517861,40.7074,-74.01175,228,2,2,2019-05-18,0.73,327,350,Sonder | Stock Exchange | Welcoming 1BR + Laundry,Sonder (NYC),Manhattan,Financial District,Entire home/apt
28895817,23188519,40.695240000000005,-73.95322,67,30,31,2019-06-16,3.41,6,333,SUNNY ROOM WITH SKYLIGHT + 2 BEDS,Emily Wes,Brooklyn,Bedford-Stuyvesant,Private room
25950590,2732777,40.8018,-73.96264000000001,115,3,19,2019-06-17,1.5,1,189,Cozy room close to Central Park and Columbia,Beatriz,Manhattan,Upper West Side,Private room
30091592,16768238,40.75975,-73.9944,215,2,0,,,1,0,Best view near Times Square,Julio Adrian,Manhattan,Hell's Kitchen,Private room
6044964,31204745,40.58921,-73.79479,89,2,150,2019-06-11,3.0,1,268,Beach Lovers Dream!,Monika,Queens,Arverne,Entire home/apt
13333542,75478154,40.68252,-73.93863,229,4,92,2019-06-15,2.54,1,236,Beautifully Designed Island Style Garden Suite,Malene,Brooklyn,Bedford-Stuyvesant,Entire home/apt
22249013,17672907,40.69178,-73.91243,30,3,7,2018-03-12,0.38,1,0,Cozy Bushwick Loft Apartment,Imani,Brooklyn,Bushwick,Private room
27802387,12750945,40.74186,-73.99769,85,2,22,2019-06-23,2.19,4,365,Living Room sofa Bed in Chelsea,Luis,Manhattan,Chelsea,Shared room
29233568,41083526,40.74529,-73.92175999999999,50,1,9,2019-03-23,1.03,2,0,Cozy apartment in PERFECT location!,Brenda,Queens,Sunnyside,Shared room
22051863,44869463,40.7668,-73.98428,160,3,0,,,1,0,Sunny Apt.  near Columbus circle,Nardys,Manhattan,Hell's Kitchen,Entire home/apt
19381437,22655081,40.79205,-73.97261999999999,45,5,0,,,1,0,Big furnitured room in UWS for August!,Alan,Manhattan,Upper West Side,Private room
25213872,5789204,40.61006,-73.99902,37,4,52,2019-06-30,3.94,1,70,Cheap & Comfy Huge Private Room!,Honglip,Brooklyn,Bensonhurst,Private room
7498508,24377694,40.67804,-73.95411,105,1,1,2017-09-24,0.05,3,0,The big little room,Kori,Brooklyn,Crown Heights,Private room
13746257,80501262,40.718,-73.9525,175,2,9,2018-12-30,0.29,1,0,Prime North Williamsburg Luxury Studio,Raquel,Brooklyn,Williamsburg,Entire home/apt
26774653,27742407,40.68453,-73.96773,120,5,2,2018-09-14,0.19,1,13,"Bright, Spacious Apartment in Brooklyn",Filippo,Brooklyn,Clinton Hill,Entire home/apt
27236170,205132904,40.63513,-74.07929,135,2,65,2019-06-24,6.13,2,293,Staten Island Home with a View,Farah,Staten Island,Tompkinsville,Private room
16722564,53179388,40.78046,-73.96047,200,30,0,,,10,164,12 East 86th St full furnished,Raymond,Manhattan,Upper East Side,Entire home/apt
9334840,2716515,40.7576,-73.9067,70,1,1,2015-11-11,0.02,1,0,Cozy warm one bedroom,Nick,Queens,Astoria,Entire home/apt
20914425,878546,40.688590000000005,-73.92238,100,2,8,2019-02-11,0.38,1,0,"Room in duplex  w/sep. bathroom, close to J train",Semih,Brooklyn,Bedford-Stuyvesant,Private room
34336740,131647128,40.77567,-73.988,190,30,2,2019-06-15,1.36,25,322,Upper West 1 Bedroom / 1 Bath. Lincoln Center,Emily,Manhattan,Upper West Side,Entire home/apt
29828614,224370048,40.63304,-74.09244,90,1,6,2019-06-23,0.95,1,262,New York home ferry ride from Manhattan.,Pariis,Staten Island,Tompkinsville,Private room
30425770,128580688,40.70524,-73.73349,150,1,51,2019-07-07,7.43,1,248,Queens Corner Lot,-TheQueensCornerLot,Queens,Queens Village,Entire home/apt
12519645,56623911,40.78809,-73.95333000000001,45,1,3,2016-05-20,0.08,1,0,Upper East Side Room,Christa,Manhattan,East Harlem,Private room
18675599,129812563,40.69416,-73.90816,45,7,11,2017-09-20,0.42,1,0,Large Place bushwick with furniture,Roodmy,Brooklyn,Bushwick,Private room
21526187,118137788,40.72986,-74.00465,100,2,3,2017-11-16,0.15,1,0,West Village Bedroom in duplex apartment,Chris,Manhattan,West Village,Private room
30717487,63260432,40.7198,-73.95489,179,1,15,2019-05-19,2.54,1,0,Charming Williamsburg Loft - 1 BR,Thibaut,Brooklyn,Greenpoint,Entire home/apt
6357128,20156894,40.80627,-73.94896,95,4,20,2018-10-02,0.51,1,69,Private Bedroom in Beautiful Apartment,Florence And Peter,Manhattan,Harlem,Private room
9597258,32379616,40.88165,-73.85625,34,5,17,2019-05-31,0.4,2,313,Cozy and affordable room.,Fabiola,Bronx,Williamsbridge,Private room
35467129,205510323,40.77044,-73.99126,220,3,0,,,1,29,Gorgeous  Luxury Studio!!,Dave,Manhattan,Hell's Kitchen,Entire home/apt
587698,807642,40.60399,-73.97091999999999,72,1,61,2019-07-06,0.81,2,335,Very close to Downtown Awesome Room,Jeffrey,Brooklyn,Gravesend,Private room
29943455,200239515,40.74287,-73.89439,32,28,3,2019-06-01,0.47,15,0,Cozy and Nice room in Queens! good subway access!,Shogo,Queens,Woodside,Private room
20149318,19297877,40.85527,-73.86719000000001,35,1,21,2018-12-11,0.96,1,284,Wonderful room for rent in the Bronx,Albena,Bronx,Bronxdale,Private room
14809342,3599088,40.72191,-73.99472,120,19,5,2018-03-25,0.17,2,0,Soho/Nolita Apartment w/Rooftop Terrace,Chris,Manhattan,Nolita,Entire home/apt
24378513,714531,40.65618,-73.95664000000001,55,4,26,2019-06-24,1.81,1,73,Sunny Spacious Private Bedroom in Brooklyn,Gabriel,Brooklyn,Prospect-Lefferts Gardens,Private room
18913450,27982346,40.79729,-73.93536999999999,49,7,5,2017-12-29,0.21,1,0,Light Filled Private Room,Christopher,Manhattan,East Harlem,Private room
9615209,49746656,40.74572,-73.95679,85,5,1,2016-08-13,0.03,1,0,Cozy Studio in Luxury Building LIC,Elva,Queens,Long Island City,Entire home/apt
15958726,103631576,40.68411,-73.94494,100,2,5,2017-05-24,0.16,1,0,"Affordable 1 bedroom apt, in great neighborhood",Nayamkah,Brooklyn,Bedford-Stuyvesant,Entire home/apt
31070935,232112395,40.67686,-73.93159,45,14,0,,,1,30,Cozy room in duplex apartment - terrace with view,Alessandro,Brooklyn,Crown Heights,Private room
2460611,4137875,40.72559,-73.95033000000001,145,2,21,2019-04-22,0.45,1,64,1890s North Williamsburg Townhouse,Rachel,Brooklyn,Greenpoint,Private room
34706620,261768544,40.71125,-73.96115999999999,300,2,5,2019-07-01,2.94,1,57,Trendy open concept Williamsburg loft apartment,Kori,Brooklyn,Williamsburg,Entire home/apt
13845597,81730337,40.70912,-73.94107,150,7,0,,,1,0,1 Bedroom in williamsburg,Geoffray,Brooklyn,Williamsburg,Entire home/apt
764753,3371859,40.67679,-73.93776,82,8,108,2019-06-16,1.33,2,238,Beautiful 3 bedroom apartment!!,Jenny & Jose,Brooklyn,Crown Heights,Entire home/apt
4512329,16685925,40.83089,-73.94125,49,3,3,2016-07-14,0.05,2,0,Spacious Room in Sugar Hill,Douglas,Manhattan,Washington Heights,Private room
15095408,17423162,40.7083,-74.01406,80,5,1,2017-01-01,0.03,1,0,One bedroom in luxury FiDi building,Rishab,Manhattan,Financial District,Private room
17459791,12588825,40.79358,-73.97452,175,4,3,2017-11-05,0.11,1,0,Bedroom Upper West Side 10min walk to Central Park,Kyle,Manhattan,Upper West Side,Private room
7255372,37987441,40.68538,-73.92447,32,3,7,2019-01-27,0.15,1,0,~Room for Guest in Stunning BK Apt~,Addie,Brooklyn,Bedford-Stuyvesant,Private room
35195915,244131674,40.749,-74.00244,300,2,3,2019-07-07,3.0,1,365,Chelsea HIGHLINE Prime Location,Alexis,Manhattan,Chelsea,Entire home/apt
34717733,239661123,40.72774,-73.73461999999999,99,1,6,2019-07-07,4.86,1,15,TheGreystone,Shantell,Queens,Queens Village,Entire home/apt
4267133,6793885,40.72156,-73.98711999999999,70,1,2,2015-06-10,0.03,1,0,Large private room in huge LES Apt,Nick,Manhattan,Lower East Side,Private room
36115461,24633205,40.6887,-73.93982,50,1,1,2019-06-30,1.0,1,27,Private Room In a Beautiful Tree-Lined Brownstone,Joshua,Brooklyn,Bedford-Stuyvesant,Private room
27338033,206009618,40.70055,-73.93024,56,2,32,2019-06-25,2.97,1,158,"Private Bushwick Room -- Close to J, M, L Trains",Keilyn,Brooklyn,Bushwick,Private room
959478,4191076,40.71687,-73.99046,87,59,51,2019-02-01,0.66,1,0,"Chic, Cozy LES 1BR. Weekly clean included!",Michelle,Manhattan,Chinatown,Entire home/apt
35768121,2448443,40.74849,-73.97708,140,3,1,2019-06-17,1.0,1,3,Murray Hill studio,Alex,Manhattan,Murray Hill,Entire home/apt
30512146,21296382,40.76703,-73.95957,200,3,3,2019-04-22,0.46,1,188,Artsy Upper East Side Apartment,Victor,Manhattan,Upper East Side,Entire home/apt
17624418,6978404,40.62645,-74.02888,165,20,0,,,1,46,LOFTY 3 BEDROOMS DUPLEX 30MN FROM DOWNTOWN,Samira,Brooklyn,Bay Ridge,Entire home/apt
35612199,213432040,40.69924,-73.99296,150,2,0,,,1,74,Designer large studio in Brooklyn Heights,Naomi,Brooklyn,Brooklyn Heights,Entire home/apt
20000820,27527984,40.69613,-73.90768,66,1,2,2017-10-08,0.09,1,0,Sunny and Spacious private bedroom,S,Brooklyn,Bushwick,Private room
450577,2237267,40.77555,-73.9767,250,3,73,2019-06-07,0.84,1,284,1 bdrm brownstone-west 70's-1 block Central Park,Marjorie,Manhattan,Upper West Side,Entire home/apt
21824124,159091490,40.6786,-73.98380999999999,139,1,82,2019-07-07,4.16,17,355,Boutique Gowanus Queen Studio,Melissa,Brooklyn,Gowanus,Private room
13802334,35775878,40.68366,-73.96563,65,7,10,2017-12-10,0.28,1,0,Bright chic room in Clinton hill,Lisa,Brooklyn,Clinton Hill,Private room
32160889,162280872,40.76273,-73.9942,185,30,0,,,13,298,Brand NewXL 1BR~Prime midtown~Laundry~Elev~Sleeps4,Izi,Manhattan,Hell's Kitchen,Entire home/apt
25943635,10304316,40.76549,-73.9149,60,50,0,,,1,21,Sunny room in great location,Engorako,Queens,Astoria,Private room
1455804,4028305,40.8057,-73.95826,175,2,1,2017-10-28,0.05,1,0,One Bedroom Apt Near Central Park,Abigail,Manhattan,Morningside Heights,Entire home/apt
20662567,147796643,40.78875,-73.9679,150,2,5,2018-09-22,0.22,1,0,Home with Private Terrace Off the Park,Cole,Manhattan,Upper West Side,Private room
8372368,27708645,40.67831,-73.93903,65,3,3,2015-10-13,0.07,1,342,The Herkimer House  Room #2,Malik,Brooklyn,Bedford-Stuyvesant,Private room
33113990,2919299,40.750240000000005,-74.00213000000001,175,4,3,2019-06-09,1.11,1,15,Adorable walk-up on the high line—with views!,Sean,Manhattan,Chelsea,Entire home/apt
34962979,48950686,40.77821,-73.95504,150,2,3,2019-06-30,3.0,1,164,Cozy 1bedroom apt/Manhattan/East side,Lili,Manhattan,Upper East Side,Entire home/apt
19317834,5416971,40.64041,-73.95133,97,2,21,2019-05-13,0.85,1,0,"Artsy, Cozy 1 bedroom in Flatbush",Nia,Brooklyn,East Flatbush,Entire home/apt
35380023,413316,40.67866,-73.94759,225,4,0,,,1,9,Owners duplex in beautiful bed stuy brownstone,Laurel,Brooklyn,Bedford-Stuyvesant,Entire home/apt
19914250,48972208,40.75996,-73.99798,89,1,0,,,1,0,Close to all NYC! Perfect place and cozy room,Yuri,Manhattan,Hell's Kitchen,Private room
31275494,20120009,40.68929,-73.90605,38,1,5,2019-06-19,0.82,6,7,Comfortable affordable room #5,Jannices,Brooklyn,Bushwick,Private room
14030375,57186170,40.68374,-73.9447,68,2,134,2019-06-20,3.8,3,245,Vanilla Tea - Cozy Studio Hideaway in Bed Stuy #5,Deirdre,Brooklyn,Bedford-Stuyvesant,Private room
34742586,85521952,40.86858,-73.92042,200,2,1,2019-06-30,1.0,1,234,Bright and Sunny Urban Getaway,Gregory,Manhattan,Inwood,Entire home/apt
21814906,6502688,40.70592,-73.93513,165,2,7,2019-02-03,0.37,1,0,Live/Work East Williamsburg Loft,Bryan,Brooklyn,Williamsburg,Entire home/apt
32517517,204704622,40.74063,-73.87732,33,29,1,2019-06-16,1.0,7,34,Bright room with Open Terrace 3min walk to Subway,Momoyo,Queens,Elmhurst,Private room
31859909,5704932,40.86643,-73.88895,65,2,7,2019-04-01,1.28,3,110,Beautiful room with view in newly-renovated house,Victor,Bronx,Fordham,Private room
27201257,200391647,40.67947,-73.97618,150,7,1,2018-10-18,0.11,1,0,Charming & convenient to subways/1 bed. brownstone,Lauren,Brooklyn,Park Slope,Entire home/apt
10340695,53217509,40.67434,-73.95761999999999,45,4,0,,,1,0,Spacious bedroom near Prospect Park,Kelsey,Brooklyn,Crown Heights,Private room
22480570,22382224,40.66023,-73.9804,85,1,6,2018-04-02,0.33,1,0,Sunny & Cozy Double Bedroom with private entrance,Meryem,Brooklyn,Windsor Terrace,Private room
7497287,241593,40.65036,-73.96306,70,1,0,,,2,0,Massive Bedroom by Prospect Park,Thomas,Brooklyn,Flatbush,Private room
33776235,42615337,40.72241,-73.98554,180,5,1,2019-07-03,1.0,1,32,Bright apt in the heart of the lower east side!,Capucine,Manhattan,East Village,Entire home/apt
27817851,152246149,40.82952,-73.82818,140,1,31,2019-06-09,3.01,5,365,A Nice Room For Unique people,Catherine,Bronx,Throgs Neck,Private room
10360144,16823940,40.77673,-73.90993,40,2,8,2019-06-08,0.2,2,229,Live like a local in NYC! Next to Ditmars subway,Missy,Queens,Ditmars Steinway,Private room
31369708,226036723,40.68537,-73.87442,250,3,0,,,3,364,ROOMS ONE and TWO,Ravita,Brooklyn,Cypress Hills,Private room
20582991,120762452,40.74844,-73.97713,130,30,1,2017-11-01,0.05,50,364,Private studio in midtown Manhattan,Stanley,Manhattan,Murray Hill,Entire home/apt
10035920,51502398,40.6698,-73.94991999999999,175,3,77,2019-06-17,1.8,1,54,Best of Brooklyn,Sasha,Brooklyn,Crown Heights,Entire home/apt
16916926,420620,40.65998,-73.97811,70,3,0,,,1,0,Clean! Quiet! Near train and park!,Kathryn,Brooklyn,Windsor Terrace,Private room
17111449,4538012,40.80921,-73.94001999999999,70,2,89,2019-06-29,3.28,4,249,Spacious Private Room - Harlem/Manhattan Townhouse,Karen,Manhattan,East Harlem,Private room
8777936,40611169,40.67778,-73.9952,250,1,50,2019-06-25,1.46,5,365,Prime carroll gardens chrming 2 bed rooms,Sol,Brooklyn,Carroll Gardens,Entire home/apt
32308362,99763169,40.77995,-73.98464,220,2,3,2019-04-29,0.62,1,36,Quiet Mid-Century Modern Apartment,Ashlin,Manhattan,Upper West Side,Entire home/apt
3638852,3563235,40.72135,-73.98,85,5,12,2016-09-06,0.2,1,0,Sunny room in Alphabet City,Andra,Manhattan,East Village,Private room
4129487,18397763,40.68706,-73.93077,67,2,21,2019-05-21,0.36,7,58,Peaceful Retreat in a Brownstone,Seun And Marie,Brooklyn,Bedford-Stuyvesant,Private room
26706133,199147185,40.66362,-73.99616,330,1,1,2018-11-04,0.12,5,174,Beautiful brand new apartment !,Lou,Brooklyn,Sunset Park,Entire home/apt
